backpack,Backpack
bed,Bed
book,Book
bookcase,Bookcase
chair,Chair
coffeetable,CoffeeTable
cpu,Desktop
couch,Couch
desklamp,DeskLamp
drawer,FileCabinet
floor,Floor
floorlamp,FloorLamp
headphones,Headphones
keyboard,Keyboard
laptop,Laptop
lightswitch,LightSwitch
marker,Marker
monitor,Monitor
mouse,ComputerMouse
mug,Mug
nightstand,Nightstand
notebook,Notepad
phone,Telephone
pillow,Pillow
piano,PianoKeyboard
plant,PottedPlant
plate,Plate
powerstrip,PowerStrip
sidetable,AccentTable
speaker,Speaker
stool,Stool
table,Table
tableclock,TableClock
trashbin,TrashBin
tv,TV
tvstand,TvStand
wall,Wall
whiteboard,Whiteboard
