verb,(Intercept),SpineBase,SpineMid,Neck,Head,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,ShoulderRight,ElbowRight,WristRight,HandRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,FootRight,SpineShoulder,HandTipLeft,ThumbLeft,HandTipRight,ThumbRight
grasp,3.211553161,0,-0.717983701,-2.247186519,1.197294309,-0.475546415,0.0376187,-0.231026431,0,-1.941218533,-0.347698088,-1.603968117,0,-0.307013547,0.347470998,1.566225531,-1.689050923,0.709095121,-1.339724421,2.798412042,-1.052078888,1.359063847,0,0,0,0
lean,-2.45922598,0,-1.50063978,20.39179955,0.104839886,-0.681982577,0.407869001,0.37081853,0,-2.832855284,0.132486092,0.092113918,0,0.178007642,0.528691701,0.303426366,0.214811579,0.987836194,1.223051461,1.444022934,-2.022857982,3.308047465,0,0,0,0
lie,0.302873955,0,4.481168378,2.622365967,0.576304026,-1.171761698,0.669027589,0.208380921,0,-2.048052068,0.144327031,0.159351444,0,0.337960808,0.088927468,2.134270862,-4.844215037,1.483912734,-0.186981814,0.941200448,-0.276757996,-2.011646193,0,0,0,0
look,8.200822789,0,-2.517986912,-6.591370674,1.598673934,-1.172351937,0.117779653,-0.188943816,0,-1.582907923,-0.350220012,-0.148532339,0,-0.468643338,0.395109024,1.496441361,-4.792350937,0.760199262,0.647112188,1.260121448,-0.885591015,2.553361402,0,0,0,0
read,-1.160629258,0,1.066751533,-3.106277603,1.140888966,-3.71428472,-0.031423913,-0.067737108,0,-1.82821903,-0.21524184,0.117592225,0,0.394283331,1.073560861,1.925194196,-3.213066762,-0.815455658,2.904619685,2.319303065,-2.054320775,5.967870801,0,0,0,0
restfeet,-4.644407732,0,-2.377527571,22.34615261,-1.050112362,-0.238072502,0.315984289,0.199186692,0,-1.490778079,-0.273880027,0.165724938,0,-1.987750292,1.303835871,0.398078902,0.133805849,1.140212587,1.127737547,0.927650621,-0.332398462,4.107344073,0,0,0,0
sit,0.741506098,0,-2.191522366,0.15954524,0.666960438,-1.138006676,0.129466411,-0.047649573,0,-1.387065713,-0.129446421,0.034070781,0,-0.362580561,0.717071608,2.058326228,-2.025499231,0.772064234,0.995937784,2.018801644,-1.100040919,1.863896715,0,0,0,0
switch,-1.264789427,0,-2.637758255,-0.353871313,0.9981354,0.949706817,-0.670939884,-0.09992955,0,-1.817891141,0.46777197,0.06858159,0,-2.384087301,1.137988384,0.393741006,-1.824906991,1.804398738,-0.133818781,1.668003542,-0.866818621,0.312708677,0,0,0,0
touch,2.233926104,0,-7.99311564,3.329699494,0.794289397,-1.48864115,-0.606813759,0.044559955,0,-2.852452817,0.336968,-0.587313739,0,0.461793016,-0.470980552,1.694689028,-2.577944989,2.545620966,0.239324085,2.28501269,-0.89069843,0.263881052,0,0,0,0
type,0.832866759,0,-1.031512665,-10.58704025,0.932090824,-0.699038664,0.15115866,0.036048227,0,-1.181285999,0.066331503,-0.159058815,0,-0.298103481,0.44669342,1.504519595,-1.78369517,0.608466699,0.542811017,1.938182298,-1.037482203,-3.549732783,0,0,0,0
use,-2.08544036,0,0.121160077,-9.149325277,-1.734477877,-0.68299615,-0.0134065,-0.158618171,0,-0.62964335,0.257956374,0.012280981,0,0.411679351,0.450832952,2.538053979,-1.586996208,1.296344911,0.774378278,3.262779592,-2.413057615,-6.61566087,0,0,0,0
write,-0.274084872,0,-4.844537358,0.520575967,1.106577335,-0.423342044,0.299502839,0.239963907,0,-0.11299988,0.160966501,0.262846836,0,0.222556013,0.302619828,-0.308966792,-0.815038318,-0.759021033,0.031252277,-0.634340397,-0.008444043,-0.983436729,0,0,0,0
